,Before,After
0,terimakasih,terima kasih
1,packingnya,packing
2,nya,dia
3,g,tidak
4,bgs,bagus
5,@,di
6,abis,habis
7,ad,ada
8,adlh,adalah
9,afaik,as far as i know
10,ahaha,haha
11,aj,saja
12,ajep-ajep,dunia gemerlap
13,ak,saya
14,akika,aku
15,akkoh,aku
16,akuwh,aku
17,alay,norak
18,alow,halo
19,ambilin,ambilkan
20,ancur,hancur
21,anjrit,anjing
22,anter,antar
23,ap2,apa-apa
24,apasih,apa sih
25,apes,sial
26,aps,apa
27,aq,saya
28,aquwh,aku
29,asbun,asal bunyi
30,aseekk,asyik
31,asekk,asyik
32,asem,asam
33,aspal,asli tetapi palsu
34,astul,asal tulis
35,ato,atau
36,au ah,tidak mau tahu
37,awak,saya
38,ay,sayang
39,ayank,sayang
40,b4,sebelum
41,bakalan,akan
42,bandes,bantuan desa
43,bangedh,banget
44,banpol,bantuan polisi
45,banpur,bantuan tempur
46,basbang,basi
47,bcanda,bercanda
48,bdg,bandung
49,begajulan,nakal
50,beliin,belikan
51,bencong,banci
52,bentar,sebentar
53,ber3,bertiga
54,beresin,membereskan
55,bete,bosan
56,beud,banget
57,bg,abang
58,bgmn,bagaimana
59,bgt,banget
60,bijimane,bagaimana
61,bintal,bimbingan mental
62,bkl,akan
63,bknnya,bukannya
64,blegug,bodoh
65,blh,boleh
66,bln,bulan
67,blum,belum
68,bnci,benci
69,bnran,yang benar
70,bodor,lucu
71,bokap,ayah
72,boker,buang air besar
73,bokis,bohong
74,boljug,boleh juga
75,bonek,bocah nekat
76,boyeh,boleh
77,br,baru
78,brg,bareng
79,bro,saudara laki-laki
80,bru,baru
81,bs,bisa
82,bsen,bosan
83,bt,buat
84,btw,ngomong-ngomong
85,buaya,tidak setia
86,bubbu,tidur
87,bubu,tidur
88,bumil,ibu hamil
89,bw,bawa
90,bwt,buat
91,byk,banyak
92,byrin,bayarkan
93,cabal,sabar
94,cadas,keren
95,calo,makelar
96,can,belum
97,capcus,pergi
98,caper,cari perhatian
99,ce,cewek
100,cekal,cegah tangkal
101,cemen,penakut
102,cengengesan,tertawa
103,cepet,cepat
104,cew,cewek
105,chuyunk,sayang
106,cimeng,ganja
107,cipika cipiki,cium pipi kanan cium pipi kiri
108,ciyh,sih
109,ckepp,cakep
110,ckp,cakep
111,cmiiw,correct me if i'm wrong
112,cmpur,campur
113,cong,banci
114,conlok,cinta lokasi
115,cowwyy,maaf
116,cp,siapa
117,cpe,capek
118,cppe,capek
119,cucok,cocok
120,cuex,cuek
121,cumi,Cuma miscall
122,cups,culun
123,curanmor,pencurian kendaraan bermotor
124,curcol,curahan hati colongan
125,cwek,cewek
126,cyin,cinta
127,d,di
128,dah,deh
129,dapet,dapat
130,de,adik
131,dek,adik
132,demen,suka
133,deyh,deh
134,dgn,dengan
135,diancurin,dihancurkan
136,dimaafin,dimaafkan
137,dimintak,diminta
138,disono,di sana
139,dket,dekat
140,dkk,dan kawan-kawan
141,dll,dan lain-lain
142,dlu,dulu
143,dngn,dengan
144,dodol,bodoh
145,doku,uang
146,dongs,dong
147,dpt,dapat
148,dri,dari
149,drmn,darimana
150,drtd,dari tadi
151,dst,dan seterusnya
152,dtg,datang
153,duh,aduh
154,duren,durian
155,ed,edisi
156,egp,emang gue pikirin
157,eke,aku
158,elu,kamu
159,emangnya,memangnya
160,emng,memang
161,endak,tidak
162,enggak,tidak
163,envy,iri
164,ex,mantan
165,fax,facsimile
166,fifo,first in first out
167,folbek,follow back
168,fyi,sebagai informasi
169,gaada,tidak ada uang
170,gag,tidak
171,gaje,tidak jelas
172,gak papa,tidak apa-apa
173,gan,juragan
174,gaptek,gagap teknologi
175,gatek,gagap teknologi
176,gawe,kerja
177,gbs,tidak bisa
178,gebetan,orang yang disuka
179,geje,tidak jelas
180,gepeng,gelandangan dan pengemis
181,ghiy,lagi
182,gile,gila
183,gimana,bagaimana
184,gino,gigi nongol
185,githu,gitu
186,gj,tidak jelas
187,gmana,bagaimana
188,gn,begini
189,goblok,bodoh
190,golput,golongan putih
191,gowes,mengayuh sepeda
192,gpny,tidak punya
193,gr,gede rasa
194,gretongan,gratisan
195,gtau,tidak tahu
196,gua,saya
197,guoblok,goblok
198,gw,saya
199,ha,tertawa
200,haha,tertawa
201,hallow,halo
202,hankam,pertahanan dan keamanan
203,hehe,he
204,helo,halo
205,hey,hai
206,hlm,halaman
207,hny,hanya
208,hoax,isu bohong
209,hr,hari
210,hrus,harus
211,hubdar,perhubungan darat
212,huff,mengeluh
213,hum,rumah
214,humz,rumah
215,ilang,hilang
216,ilfil,tidak suka
217,imho,in my humble opinion
218,imoetz,imut
219,item,hitam
