Category,Product Name,Seller,Location,Price,Overall Rating,Number Sold,Total Reviews,Link,Customer Rating,Review,Emotion,Sentiment
Komputer & Laptop,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Original New,Jakarta Utara,"Rp53,500",4.9,5449,2369,https://www.tokopedia.com/neworiginal/wireless-keyboard-i8-mini-touchpad-mouse-2-4g-handheld-pc-android-tv,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Happy,Positive
Komputer & Laptop,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Windows original.,Kota Tangerang Selatan,"Rp72,000",4.9,2359,1044,https://www.tokopedia.com/windowsoriginal/paket-lisensi-windows-10-pro-dan-office-2019-original-bonus,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Happy,Positive
Komputer & Laptop,SSD Midasforce 128 Gb - Tanpa Caddy,Garuda Megastore,Jakarta Barat,"Rp213,000",5,12300,3573,https://www.tokopedia.com/garudamegastore/ssd-midasforce-128-gb-tanpa-caddy,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Happy,Positive
Komputer & Laptop,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,BLESS COMPUTER,Jakarta Timur,"Rp55,000",4.7,2030,672,https://www.tokopedia.com/candracom/adaptor-charger-monitor-lcd-led-tv-lg-merek-lg-19v-original?src=topads,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak 🙏,Happy,Positive
Komputer & Laptop,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,BLESS COMPUTER,Jakarta Timur,"Rp55,000",4.7,2030,672,https://www.tokopedia.com/candracom/adaptor-charger-monitor-lcd-led-tv-lg-merek-lg-19v-original?src=topads,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Happy,Positive
Komputer & Laptop,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,BLESS COMPUTER,Jakarta Timur,"Rp55,000",4.7,2030,672,https://www.tokopedia.com/candracom/adaptor-charger-monitor-lcd-led-tv-lg-merek-lg-19v-original?src=topads,5,"barang bagus, seller ramah..",Happy,Positive
Komputer & Laptop,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Macstuff,Jakarta Selatan,"Rp85,000",4.9,1339,718,https://www.tokopedia.com/macstuff/kepala-colokan-listrik-charger-macbook-untuk-colokan-indonesia,5,mantap paten joss,Happy,Positive
Komputer & Laptop,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Vention Indonesia,Jakarta Barat,"Rp136,500",5,1201,632,https://www.tokopedia.com/vention/afl-bidirectional-hdmi-switcher-1-in-2-out-2-in-1-out-afu,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Happy,Positive
Komputer & Laptop,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Vention Indonesia,Jakarta Barat,"Rp136,500",5,1201,632,https://www.tokopedia.com/vention/afl-bidirectional-hdmi-switcher-1-in-2-out-2-in-1-out-afu,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Happy,Positive
Komputer & Laptop,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,faqihcomp,Jakarta Barat,"Rp113,777",4.9,1630,777,https://www.tokopedia.com/doctorcomputers/adaptor-charger-original-laptop-asus-x441-x441u-x441uv-x441ua-x441s,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Happy,Positive
Komputer & Laptop,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,faqihcomp,Jakarta Barat,"Rp113,777",4.9,1630,777,https://www.tokopedia.com/doctorcomputers/adaptor-charger-original-laptop-asus-x441-x441u-x441uv-x441ua-x441s,5,"Pengiriman super cepat, barang bagus, recommended seller, thanks",Happy,Positive
Komputer & Laptop,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Three Acc,Jakarta Utara,"Rp66,000",4.8,2702,882,https://www.tokopedia.com/threeacc/adaptor-charger-laptop-asus-a455la-a455ld-a455lb-a455-a455l-original,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Happy,Positive
Komputer & Laptop,Kabel Power Adaptor Charger Laptop 3 Lubang,Nusantara Part Laptop,Jakarta Pusat,"Rp25,000",4.9,2122,828,https://www.tokopedia.com/nsn-olshop/kabel-power-adaptor-charger-laptop-3-lubang,5,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",Happy,Positive
Komputer & Laptop,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Nootbook part,Jakarta Pusat,"Rp55,000",4.9,2010,970,https://www.tokopedia.com/satiman/charger-adaptor-laptop-acer-aspire-e14-e5-421-e5-431-e5-471-e5-475g,5,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Happy,Positive
Komputer & Laptop,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,rubic wear,Kota Bandung,"Rp127,880",4.9,1257,700,https://www.tokopedia.com/rubicwear/cooling-pad-laptop-gaming-6-fan-kipas-pendingin-laptop-kipas-cooler-q3?src=topads,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Happy,Positive
Komputer & Laptop,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,rubic wear,Kota Bandung,"Rp127,880",4.9,1257,700,https://www.tokopedia.com/rubicwear/cooling-pad-laptop-gaming-6-fan-kipas-pendingin-laptop-kipas-cooler-q3?src=topads,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Happy,Positive
Komputer & Laptop,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",suryatama,Jakarta Utara,"Rp80,000",4.8,3982,1890,https://www.tokopedia.com/suryatama/kipas-laptop-cooling-pad-ace-cooling-ergostand-15-6inch-1-fan?src=topads,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah 👍,Happy,Positive
Komputer & Laptop,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",suryatama,Jakarta Utara,"Rp80,000",4.8,3982,1890,https://www.tokopedia.com/suryatama/kipas-laptop-cooling-pad-ace-cooling-ergostand-15-6inch-1-fan?src=topads,5,barang udah sampai ya gan dan berfungsi. terima kasih,Happy,Positive
Komputer & Laptop,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Ibagstore,Kota Depok,"Rp55,000",4.8,13900,6671,https://www.tokopedia.com/lbagstore/coolcold-laptop-vacuum-vacum-cooler-cooling-pad-hisap-panas-notebook?src=topads,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Happy,Positive
Komputer & Laptop,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Ibagstore,Kota Depok,"Rp55,000",4.8,13900,6671,https://www.tokopedia.com/lbagstore/coolcold-laptop-vacuum-vacum-cooler-cooling-pad-hisap-panas-notebook?src=topads,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Happy,Positive
Komputer & Laptop,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Ibagstore,Kota Depok,"Rp55,000",4.8,13900,6671,https://www.tokopedia.com/lbagstore/coolcold-laptop-vacuum-vacum-cooler-cooling-pad-hisap-panas-notebook?src=topads,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Happy,Positive
Komputer & Laptop,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Ibagstore,Kota Depok,"Rp55,000",4.8,13900,6671,https://www.tokopedia.com/lbagstore/coolcold-laptop-vacuum-vacum-cooler-cooling-pad-hisap-panas-notebook?src=topads,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin 🤲🤲🤲.",Happy,Positive
Komputer & Laptop,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,ACC COMPUTER 22,Jakarta Barat,"Rp74,900",4.7,3713,2153,https://www.tokopedia.com/desember1997/cooling-pad-gaming-ergostand-kipas-pendingin-laptop-big-fan-cooler-pad-kipas-ergostand?src=topads,5,mantab barang nya oke punya,Happy,Positive
Komputer & Laptop,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Trinity Plaza,Jakarta Barat,"Rp112,000",4.9,5988,2969,https://www.tokopedia.com/trinityplaza/cooler-master-notepal-cmc3-silent-fan-laptop-cooling-pad,5,"pengiriman cepat, packing rapi, kualitas mantap",Happy,Positive
Komputer & Laptop,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Trinity Plaza,Jakarta Barat,"Rp112,000",4.9,5988,2969,https://www.tokopedia.com/trinityplaza/cooler-master-notepal-cmc3-silent-fan-laptop-cooling-pad,5,silent dan bagus untuk pekerjaan ringan,Happy,Positive
Komputer & Laptop,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Trinity Plaza,Jakarta Barat,"Rp112,000",4.9,5988,2969,https://www.tokopedia.com/trinityplaza/cooler-master-notepal-cmc3-silent-fan-laptop-cooling-pad,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu 👍👍👍,Happy,Positive
Komputer & Laptop,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Trinity Plaza,Jakarta Barat,"Rp112,000",4.9,5988,2969,https://www.tokopedia.com/trinityplaza/cooler-master-notepal-cmc3-silent-fan-laptop-cooling-pad,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Happy,Positive
Komputer & Laptop,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Suncell,Kota Surabaya,"Rp385,000",5,2716,1843,https://www.tokopedia.com/suncell/cooling-pad-laptop-tahan-24-jam-6-000-rpm-angin-topan-gambar-no-1-bening,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Happy,Positive
Komputer & Laptop,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Suncell,Kota Surabaya,"Rp385,000",5,2716,1843,https://www.tokopedia.com/suncell/cooling-pad-laptop-tahan-24-jam-6-000-rpm-angin-topan-gambar-no-1-bening,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Happy,Positive
Komputer & Laptop,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Suncell,Kota Surabaya,"Rp385,000",5,2716,1843,https://www.tokopedia.com/suncell/cooling-pad-laptop-tahan-24-jam-6-000-rpm-angin-topan-gambar-no-1-bening,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Happy,Positive
Komputer & Laptop,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Suncell,Kota Surabaya,"Rp385,000",5,2716,1843,https://www.tokopedia.com/suncell/cooling-pad-laptop-tahan-24-jam-6-000-rpm-angin-topan-gambar-no-1-bening,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah 👍👍👍,Happy,Positive
Komputer & Laptop,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Suncell,Kota Surabaya,"Rp385,000",5,2716,1843,https://www.tokopedia.com/suncell/cooling-pad-laptop-tahan-24-jam-6-000-rpm-angin-topan-gambar-no-1-bening,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Happy,Positive
Komputer & Laptop,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,The Apple Stuff,Jakarta Utara,"Rp15,000",4.9,690,338,https://www.tokopedia.com/theapplestuff/macbook-skin-keyboard-protector-transparant-bening-a2141-a2289?src=topads,5,Sangat presisi dan pas,Happy,Positive
Komputer & Laptop,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,The Apple Stuff,Jakarta Utara,"Rp15,000",4.9,690,338,https://www.tokopedia.com/theapplestuff/macbook-skin-keyboard-protector-transparant-bening-a2141-a2289?src=topads,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Happy,Positive
Komputer & Laptop,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,The Apple Stuff,Jakarta Utara,"Rp15,000",4.9,690,338,https://www.tokopedia.com/theapplestuff/macbook-skin-keyboard-protector-transparant-bening-a2141-a2289?src=topads,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Happy,Positive
Komputer & Laptop,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Aquarius Official,Jakarta Barat,"Rp365,000",5,2554,1396,https://www.tokopedia.com/aquarius-id/logitech-bluetooth-keyboard-k380-k-380-k-380-hitam?src=topads,5,Mantap barangnya cepet sampai dan enak digunainnya!,Happy,Positive
Komputer & Laptop,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Aquarius Official,Jakarta Barat,"Rp365,000",5,2554,1396,https://www.tokopedia.com/aquarius-id/logitech-bluetooth-keyboard-k380-k-380-k-380-hitam?src=topads,5,"Barang bagus,oke, cepat pengirimannya juga",Happy,Positive
Komputer & Laptop,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Aquarius Official,Jakarta Barat,"Rp365,000",5,2554,1396,https://www.tokopedia.com/aquarius-id/logitech-bluetooth-keyboard-k380-k-380-k-380-hitam?src=topads,5,"Pengiriman cepat, seller responsif 👍",Happy,Positive
Komputer & Laptop,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Original New,Jakarta Utara,"Rp53,500",4.9,5449,2369,https://www.tokopedia.com/neworiginal/wireless-keyboard-i8-mini-touchpad-mouse-2-4g-handheld-pc-android-tv,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan 👍👍👍,Happy,Positive
Komputer & Laptop,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Original New,Jakarta Utara,"Rp53,500",4.9,5449,2369,https://www.tokopedia.com/neworiginal/wireless-keyboard-i8-mini-touchpad-mouse-2-4g-handheld-pc-android-tv,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Happy,Positive
Komputer & Laptop,Logitech M191 Mouse Wireless Full Size - Mid Grey,Logitech Official Store,Jakarta Timur,"Rp119,000",4.9,9777,5546,https://www.tokopedia.com/logitech/logitech-m191-mouse-wireless-full-size-mid-grey,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Sad,Negative
Komputer & Laptop,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,faqihcomp,Jakarta Barat,"Rp113,777",4.9,1630,777,https://www.tokopedia.com/doctorcomputers/adaptor-charger-original-laptop-asus-x441-x441u-x441uv-x441ua-x441s,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Sad,Negative
Komputer & Laptop,Kabel Power Adaptor Charger Laptop 3 Lubang,Nusantara Part Laptop,Jakarta Pusat,"Rp25,000",4.9,2122,828,https://www.tokopedia.com/nsn-olshop/kabel-power-adaptor-charger-laptop-3-lubang,1,gak bisa di pakai😌,Sad,Negative
Komputer & Laptop,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Trinity Plaza,Jakarta Barat,"Rp112,000",4.9,5988,2969,https://www.tokopedia.com/trinityplaza/cooler-master-notepal-cmc3-silent-fan-laptop-cooling-pad,1,Kecewa parah nggk berkah jualan gitu,Sad,Negative
