,Unnamed: 0,Review,Sentiment
0,0,alhamdulillah fungsi packaging aman respon cepat ramah seller kurir amanah,Positive
1,1,bagus respon cepat harga saing,Positive
2,2,bagus fungsi seler ramah kirim cepat,Positive
3,3,bagus harap jual ramah terima kasih lapak,Positive
4,4,bagus emas aman fungsi,Positive
5,5,bagus seller ramah,Positive
6,6,mantap paten joss,Positive
7,7,works fine respon seller cepat fungsi recommended,Positive
8,8,bagus segel utuh original fungsi bener seller respon ajib cepat amir kasih saran pas mantabbb,Positive
9,9,fungsi bagus lampu biru,Positive
10,10,kirim super cepat bagus recommended seller terima kasih,Positive
11,11,alhamdulillah barang coba bagus moga awet terima kasih seller kurir tokopedia,Positive
12,12,jual amanah responsif kabel fungsi kirim cepat terima kasih,Positive
13,13,alhamdulillah pakai moga fungsi awet kurir moga rezeki lancar,Positive
14,14,bagus silent kokoh muat laptop inch,Positive
15,15,packing aman kirim cepat fungsi,Positive
16,16,produk kualitasny good produk konsumen sih harga sok overall good,Positive
17,17,juragan fungsi terima kasih,Positive
18,18,mantap deskripsi laptop adem sejuk,Positive
19,19,produk terima terima kasih,Positive
20,20,belanja kali puas kirim lumayan cepat overall bagus,Positive
21,21,kualitas bagus harga relatif murah kirim super cepat response jual recommended seller bintang terima kasih moga sukses usaha amin,Positive
22,22,mantap oke,Positive
23,23,kirim cepat packing rapi kualitas mantap,Positive
24,24,silent bagus kerja ringan,Positive
25,25,cepat kualitas bagus kirim aman pecah manstapu,Positive
26,26,bagus kualitas gambar terima kasih seller tokped kurir,Positive
27,27,mantap kipas kencang barang kualitas harga,Positive
28,28,mantap kerja kirim deskripsi,Positive
29,29,mantap kipas kencang barang kualitas harga,Positive
30,30,jual ramah layan beli sabar saran beli mantap,Positive
31,31,cepat packing rapi acrylic pecah fungsi moga awet,Positive
32,32,presisi pas,Positive
33,33,puas seller helpfull responsif cepat recomended,Positive
34,34,mantappp responnya muas coba pasang presisi nyaman cas responsif,Positive
35,35,mantap barang cepat enak digunainnya,Positive
36,36,bagus oke cepat kirim,Positive
37,37,kirim cepat seller responsif,Positive
38,38,fungsi milik toko responsif kendala sukses toko juragan,Positive
39,39,seller packing kirim cepat deskripsi fungsi terima kasih,Positive
40,40,kecewa scroll rusak,Negative
41,41,jelek orisinal mousepad pakai charger getar parah sesui foto lapak belah harga rban beli bagus persis foto indikator ujung charger order mahal barang order,Negative
42,42,pakai,Negative
43,43,kecewa parah berkah jual,Negative
44,44,kecewa jual tanggung komplain hari solusi,Negative
45,45,pas beli tipe macbook profesional inch m variasi jual new profesional pas casing kecil tipe jual pakai alas tanggung ngejual kecewa beli tanggung,Negative
46,46,kota casing mudah lepas jujur kecewa,Negative
47,47,kecewa belanja pesan kirim,Negative
48,48,tissue bersih alat bantu pasang kecewa,Negative
49,49,beli toko kompromi segel kecewa dehhh,Negative
50,50,data error hilang,Negative
